"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","872.65","874.76","874.76","871.94","","-0.35%"
"08/02/2023","875.71","876.56","876.80","875.00","","0.03%"
"08/01/2023","875.43","873.82","879.13","873.82","","0.13%"
"07/31/2023","874.25","876.36","876.36","872.52","","-0.29%"
"07/28/2023","876.78","886.21","886.21","875.51","","-0.22%"
"07/27/2023","878.74","873.06","879.05","873.06","","0.49%"
"07/26/2023","874.48","874.89","879.59","873.77","","0.06%"
"07/25/2023","873.94","873.71","874.89","873.70","","-0.05%"
"07/24/2023","874.42","873.71","874.42","873.71","","0.00%"
"07/21/2023","874.42","873.77","876.08","871.67","","0.29%"
"07/20/2023","871.86","873.60","875.39","871.22","","-0.50%"
"07/19/2023","876.28","872.12","876.28","872.12","","0.49%"
"07/18/2023","872.03","870.69","872.66","870.69","","0.46%"
"07/17/2023","868.01","865.57","868.40","865.57","","-0.10%"
"07/14/2023","868.88","865.22","869.21","865.22","","0.01%"
"07/13/2023","868.78","878.80","878.80","868.70","","-1.60%"
"07/12/2023","882.94","873.44","882.94","873.44","","1.07%"
"07/11/2023","873.61","875.44","876.34","873.20","","-0.05%"
"07/10/2023","874.04","859.78","878.31","859.78","","1.47%"
"07/07/2023","861.40","864.16","864.16","859.53","","-0.05%"
"07/06/2023","861.79","868.60","868.99","859.82","","-0.61%"
"07/05/2023","867.12","867.29","868.70","865.06","","-0.27%"
"07/04/2023","869.51","865.90","869.96","865.90","","0.21%"
"07/03/2023","867.65","863.90","868.05","863.90","","-0.20%"
"06/30/2023","869.40","861.18","869.40","861.18","","0.95%"
"06/29/2023","861.18","860.97","861.93","860.26","","-0.17%"
"06/28/2023","862.61","860.03","863.31","860.03","","0.29%"
"06/27/2023","860.13","858.17","860.98","858.17","","-0.13%"
"06/26/2023","861.22","854.42","861.46","854.42","","-0.03%"
"06/23/2023","861.46","858.35","861.69","858.35","","-0.07%"
"06/22/2023","862.10","856.75","862.96","856.75","","0.39%"
"06/21/2023","858.77","855.15","861.45","854.78","","0.42%"
"06/20/2023","855.15","861.67","866.00","855.15","","-1.08%"
"06/19/2023","864.48","857.02","864.48","857.02","","0.36%"
"06/16/2023","861.38","887.42","887.42","859.82","","-2.94%"
"06/15/2023","887.51","886.89","889.06","885.15","","-0.03%"
"06/14/2023","887.80","888.26","888.50","886.26","","-0.06%"
"06/13/2023","888.36","893.83","893.83","887.90","","-1.56%"
"06/12/2023","902.48","888.74","912.48","888.74","","1.55%"
"06/09/2023","888.74","890.74","890.74","888.03","","0.36%"
"06/08/2023","885.51","892.02","892.02","884.43","","-0.73%"
"06/07/2023","892.02","901.43","901.43","889.87","","-1.04%"
"06/06/2023","901.43","904.14","904.14","896.50","","-0.30%"
"06/05/2023","904.14","905.07","905.07","902.93","","-0.08%"
"06/02/2023","904.84","908.26","908.26","903.29","","-0.46%"
"06/01/2023","909.06","910.48","912.13","906.51","","-0.15%"
"05/31/2023","910.39","910.99","912.50","909.38","","-0.07%"
"05/30/2023","911.05","911.96","913.30","910.14","","-0.37%"
"05/29/2023","914.45","915.73","922.31","911.67","","0.01%"
"05/26/2023","914.33","903.99","918.56","903.99","","0.76%"
"05/25/2023","907.47","909.06","909.06","905.54","","-0.10%"
"05/24/2023","908.35","907.42","911.64","904.38","","0.10%"
"05/23/2023","907.42","911.23","911.23","906.73","","-0.66%"
"05/22/2023","913.41","916.45","916.45","910.54","","-0.76%"
"05/19/2023","920.45","921.36","927.70","920.10","","-0.31%"
"05/18/2023","923.33","919.71","923.89","919.71","","0.06%"
"05/17/2023","922.80","921.10","925.92","919.99","","0.23%"
"05/16/2023","920.64","918.95","920.80","918.95","","0.09%"
"05/15/2023","919.80","908.72","920.19","908.72","","0.74%"
"05/12/2023","913.04","913.46","915.58","912.82","","-0.28%"
"05/11/2023","915.58","913.23","915.58","913.23","","0.18%"
"05/10/2023","913.91","913.88","915.87","910.97","","-0.06%"
"05/09/2023","914.49","909.63","915.04","909.56","","0.32%"
"05/08/2023","911.54","905.09","912.73","905.09","","0.63%"
"05/05/2023","905.82","903.83","907.45","903.83","","0.10%"
"05/04/2023","904.89","904.15","906.07","903.59","","-0.05%"
"05/03/2023","905.38","902.70","906.13","902.70","","0.10%"
"04/28/2023","904.49","899.41","905.74","899.41","","-0.67%"
"04/27/2023","910.59","902.04","911.05","902.04","","0.75%"
"04/26/2023","903.82","897.37","904.62","894.09","","0.89%"
"04/25/2023","895.82","900.28","900.28","895.03","","-0.81%"
"04/24/2023","903.11","891.11","903.13","890.71","","1.08%"
"04/21/2023","893.45","892.33","900.04","890.62","","0.47%"
"04/20/2023","889.28","883.16","892.17","883.16","","0.14%"
"04/19/2023","888.05","887.83","888.60","883.13","","0.16%"
"04/18/2023","886.66","881.70","886.66","881.70","","0.89%"
"04/13/2023","878.88","870.24","880.52","870.24","","0.99%"
"04/12/2023","870.24","868.31","876.81","868.31","","0.22%"
"04/11/2023","868.31","878.33","881.37","865.19","","-1.16%"
"04/10/2023","878.48","877.61","879.09","864.23","","-0.55%"
"04/07/2023","883.38","885.58","885.58","881.23","","-0.25%"
"04/06/2023","885.58","884.16","885.58","880.68","","0.20%"
"04/05/2023","883.79","885.35","885.35","883.64","","-0.22%"
"04/04/2023","885.72","882.58","889.52","882.58","","-0.26%"
